date,stock_id,country,revenue,revenue_month,revenue_year
2023-08-01,6768,Taiwan,968200000,7,2023
2023-09-01,6768,Taiwan,952886000,8,2023
2023-10-01,6768,Taiwan,1029974000,9,2023
2023-11-01,6768,Taiwan,1296096000,10,2023
2023-12-01,6768,Taiwan,1519789000,11,2023
2024-01-01,6768,Taiwan,1211368000,12,2023
2024-02-01,6768,Taiwan,1197351000,1,2024
2024-03-01,6768,Taiwan,1013913000,2,2024
2024-04-01,6768,Taiwan,1793213000,3,2024
2024-05-01,6768,Taiwan,1714492000,4,2024
2024-06-01,6768,Taiwan,1710291000,5,2024
2024-07-01,6768,Taiwan,1510945000,6,2024
2024-08-01,6768,Taiwan,1404725000,7,2024
2024-09-01,6768,Taiwan,1587600000,8,2024
2024-10-01,6768,Taiwan,1299184000,9,2024
2024-11-01,6768,Taiwan,2094031000,10,2024
2024-12-01,6768,Taiwan,1680011000,11,2024
2025-01-01,6768,Taiwan,1430653000,12,2024
2025-02-01,6768,Taiwan,1645510000,1,2025
2025-03-01,6768,Taiwan,1840160000,2,2025
2025-04-01,6768,Taiwan,2522116000,3,2025
2025-05-01,6768,Taiwan,2006147000,4,2025
2025-06-01,6768,Taiwan,1856598000,5,2025
2025-07-01,6768,Taiwan,1410523000,6,2025
2025-08-01,6768,Taiwan,1361442000,7,2025
2025-09-01,6768,Taiwan,1122141000,8,2025
