date,stock_id,country,revenue,revenue_month,revenue_year
2023-08-01,5469,Taiwan,3968161000,7,2023
2023-09-01,5469,Taiwan,3960273000,8,2023
2023-10-01,5469,Taiwan,3839037000,9,2023
2023-11-01,5469,Taiwan,3610562000,10,2023
2023-12-01,5469,Taiwan,3407928000,11,2023
2024-01-01,5469,Taiwan,3066224000,12,2023
2024-02-01,5469,Taiwan,3454801000,1,2024
2024-03-01,5469,Taiwan,2609941000,2,2024
2024-04-01,5469,Taiwan,3181410000,3,2024
2024-05-01,5469,Taiwan,3387305000,4,2024
2024-06-01,5469,Taiwan,3521526000,5,2024
2024-07-01,5469,Taiwan,3491899000,6,2024
2024-08-01,5469,Taiwan,3967379000,7,2024
2024-09-01,5469,Taiwan,4006952000,8,2024
2024-10-01,5469,Taiwan,3833666000,9,2024
2024-11-01,5469,Taiwan,3404230000,10,2024
2024-12-01,5469,Taiwan,3346116000,11,2024
2025-01-01,5469,Taiwan,3426807000,12,2024
2025-02-01,5469,Taiwan,3458247000,1,2025
2025-03-01,5469,Taiwan,3315505000,2,2025
2025-04-01,5469,Taiwan,3795180000,3,2025
2025-05-01,5469,Taiwan,5098381000,4,2025
2025-06-01,5469,Taiwan,5397393000,5,2025
2025-07-01,5469,Taiwan,5067701000,6,2025
2025-08-01,5469,Taiwan,5310317000,7,2025
2025-09-01,5469,Taiwan,5176127000,8,2025
