date,stock_id,stock_name,InternationalCode,ForeignInvestmentRemainingShares,ForeignInvestmentShares,ForeignInvestmentRemainRatio,ForeignInvestmentSharesRatio,ForeignInvestmentUpperLimitRatio,ChineseInvestmentUpperLimitRatio,NumberOfSharesIssued,RecentlyDeclareDate,note
2025-07-04,4722,國精化,TW0004722004,97684379,3374780,96.66,3.33,100.0,100.0,101059159,2025-04-18,
2025-07-07,4722,國精化,TW0004722004,97623379,3435780,96.6,3.39,100.0,100.0,101059159,2025-04-18,
2025-07-08,4722,國精化,TW0004722004,97182479,3876680,96.16,3.83,100.0,100.0,101059159,2025-04-18,
2025-07-09,4722,國精化,TW0004722004,97209479,3849680,96.19,3.8,100.0,100.0,101059159,2025-04-18,
2025-07-10,4722,國精化,TW0004722004,97300479,3758680,96.28,3.71,100.0,100.0,101059159,2025-04-18,
2025-07-11,4722,國精化,TW0004722004,97272479,3786680,96.25,3.74,100.0,100.0,101059159,2025-04-18,
2025-07-14,4722,國精化,TW0004722004,97248479,3810680,96.22,3.77,100.0,100.0,101059159,2025-04-18,
2025-07-15,4722,國精化,TW0004722004,97200479,3858680,96.18,3.81,100.0,100.0,101059159,2025-04-18,
2025-07-16,4722,國精化,TW0004722004,97688479,3370680,96.66,3.33,100.0,100.0,101059159,2025-04-18,
2025-07-17,4722,國精化,TW0004722004,97660479,3398680,96.63,3.36,100.0,100.0,101059159,2025-04-18,
2025-07-18,4722,國精化,TW0004722004,97762479,3296680,96.73,3.26,100.0,100.0,101059159,2025-04-18,
2025-07-21,4722,國精化,TW0004722004,97828479,3230680,96.8,3.19,100.0,100.0,101059159,2025-04-18,
2025-07-22,4722,國精化,TW0004722004,97632479,3426680,96.6,3.39,100.0,100.0,101059159,2025-04-18,
2025-07-23,4722,國精化,TW0004722004,97728479,3330680,96.7,3.29,100.0,100.0,101059159,2025-04-18,
2025-07-24,4722,國精化,TW0004722004,97938479,3120680,96.91,3.08,100.0,100.0,101059159,2025-04-18,
2025-07-25,4722,國精化,TW0004722004,97851479,3207680,96.82,3.17,100.0,100.0,101059159,2025-04-18,
2025-07-28,4722,國精化,TW0004722004,97853879,3205280,96.82,3.17,100.0,100.0,101059159,2025-04-18,
2025-07-29,4722,國精化,TW0004722004,98338879,2720280,97.3,2.69,100.0,100.0,101059159,2025-04-18,
2025-07-30,4722,國精化,TW0004722004,98215879,2843280,97.18,2.81,100.0,100.0,101059159,2025-04-18,
2025-07-31,4722,國精化,TW0004722004,98208879,2850280,97.17,2.82,100.0,100.0,101059159,2025-04-18,
2025-08-01,4722,國精化,TW0004722004,98087879,2971280,97.05,2.94,100.0,100.0,101059159,2025-04-18,
2025-08-04,4722,國精化,TW0004722004,98188879,2870280,97.15,2.84,100.0,100.0,101059159,2025-04-18,
2025-08-05,4722,國精化,TW0004722004,98343879,2715280,97.31,2.68,100.0,100.0,101059159,2025-04-18,
2025-08-06,4722,國精化,TW0004722004,98238879,2820280,97.2,2.79,100.0,100.0,101059159,2025-04-18,
2025-08-07,4722,國精化,TW0004722004,97981879,3077280,96.95,3.04,100.0,100.0,101059159,2025-04-18,
2025-08-08,4722,國精化,TW0004722004,97380879,3678280,96.36,3.63,100.0,100.0,101059159,2025-04-18,
2025-08-11,4722,國精化,TW0004722004,95754879,5304280,94.75,5.24,100.0,100.0,101059159,2025-04-18,
2025-08-12,4722,國精化,TW0004722004,95744879,5314280,94.74,5.25,100.0,100.0,101059159,2025-04-18,
2025-08-13,4722,國精化,TW0004722004,93258879,7800280,92.28,7.71,100.0,100.0,101059159,2025-04-18,
2025-08-14,4722,國精化,TW0004722004,93751879,7307280,92.76,7.23,100.0,100.0,101059159,2025-04-18,
2025-08-15,4722,國精化,TW0004722004,95452879,5606280,94.45,5.54,100.0,100.0,101059159,2025-04-18,
2025-08-18,4722,國精化,TW0004722004,95339879,5719280,94.34,5.65,100.0,100.0,101059159,2025-04-18,
2025-08-19,4722,國精化,TW0004722004,94845879,6213280,93.85,6.14,100.0,100.0,101059159,2025-04-18,
2025-08-20,4722,國精化,TW0004722004,92002379,9056780,91.03,8.96,100.0,100.0,101059159,2025-04-18,
2025-08-21,4722,國精化,TW0004722004,92710379,8348780,91.73,8.26,100.0,100.0,101059159,2025-04-18,
2025-08-22,4722,國精化,TW0004722004,92868379,8190780,91.89,8.1,100.0,100.0,101059159,2025-04-18,
2025-08-25,4722,國精化,TW0004722004,92375379,8683780,91.4,8.59,100.0,100.0,101059159,2025-04-18,
2025-08-26,4722,國精化,TW0004722004,91646879,9412280,90.68,9.31,100.0,100.0,101059159,2025-04-18,
2025-08-27,4722,國精化,TW0004722004,91610879,9448280,90.65,9.34,100.0,100.0,101059159,2025-04-18,
2025-08-28,4722,國精化,TW0004722004,91396879,9662280,90.43,9.56,100.0,100.0,101059159,2025-04-18,
2025-08-29,4722,國精化,TW0004722004,91395879,9663280,90.43,9.56,100.0,100.0,101059159,2025-04-18,
2025-09-01,4722,國精化,TW0004722004,91114879,9944280,90.15,9.84,100.0,100.0,101059159,2025-04-18,
2025-09-02,4722,國精化,TW0004722004,90855879,10203280,89.9,10.09,100.0,100.0,101059159,2025-04-18,
2025-09-03,4722,國精化,TW0004722004,90829879,10229280,89.87,10.12,100.0,100.0,101059159,2025-04-18,
2025-09-04,4722,國精化,TW0004722004,90781879,10277280,89.83,10.16,100.0,100.0,101059159,2025-04-18,
2025-09-05,4722,國精化,TW0004722004,90682879,10376280,89.73,10.26,100.0,100.0,101059159,2025-04-18,
2025-09-08,4722,國精化,TW0004722004,90736879,10322280,89.78,10.21,100.0,100.0,101059159,2025-04-18,
2025-09-09,4722,國精化,TW0004722004,91895879,9163280,90.93,9.06,100.0,100.0,101059159,2025-04-18,
2025-09-10,4722,國精化,TW0004722004,91754879,9304280,90.79,9.2,100.0,100.0,101059159,2025-04-18,
2025-09-11,4722,國精化,TW0004722004,94321879,6737280,93.33,6.66,100.0,100.0,101059159,2025-04-18,
2025-09-12,4722,國精化,TW0004722004,94580879,6478280,93.58,6.41,100.0,100.0,101059159,2025-04-18,
2025-09-15,4722,國精化,TW0004722004,93884879,7174280,92.9,7.09,100.0,100.0,101059159,2025-04-18,
2025-09-16,4722,國精化,TW0004722004,93943694,7115465,92.95,7.04,100.0,100.0,101059159,2025-04-18,
2025-09-17,4722,國精化,TW0004722004,93659099,7400060,92.67,7.32,100.0,100.0,101059159,2025-04-18,
2025-09-18,4722,國精化,TW0004722004,93484132,7575027,92.5,7.49,100.0,100.0,101059159,2025-04-18,
2025-09-19,4722,國精化,TW0004722004,94546132,6513027,93.55,6.44,100.0,100.0,101059159,2025-04-18,
2025-09-22,4722,國精化,TW0004722004,94684132,6375027,93.69,6.3,100.0,100.0,101059159,2025-04-18,
2025-09-23,4722,國精化,TW0004722004,94391902,6667257,93.4,6.59,100.0,100.0,101059159,2025-04-18,
2025-09-24,4722,國精化,TW0004722004,96385899,4673260,95.37,4.62,100.0,100.0,101059159,2025-04-18,
